epoch,loss,train_accuracy,test_accuracy
1,1.2517228906182205,0.31666666666666665,0.2916666666666667
100,0.6496863829714794,0.5583333333333333,0.5416666666666666
200,0.5815748149689138,0.6722222222222223,0.5833333333333334
300,0.5185831739300643,0.775,0.7083333333333334
400,0.45711133287569833,0.8944444444444445,0.8833333333333333
500,0.3981830265384096,0.9194444444444444,0.9333333333333333
600,0.34652377737849877,0.9305555555555556,0.9416666666666667
700,0.30399849271053614,0.9388888888888889,0.9416666666666667
800,0.27042203410984644,0.9555555555555556,0.95
900,0.24385204150264753,0.9611111111111111,0.95
1000,0.22271722982714584,0.9638888888888889,0.9583333333333334
1100,0.20560696077773874,0.9666666666666667,0.9666666666666667
1200,0.19139216059765046,0.975,0.9666666666666667
1300,0.17934214410245963,0.975,0.9666666666666667
1400,0.16909145922797955,0.975,0.9666666666666667
1500,0.160341506679583,0.975,0.9666666666666667
